95.54|[784, 32, 16, 10]|[sigmoid, tanh]|adam|0.002|0|0.001
53.1|[784, 32, 16, 10]|[sigmoid, tanh]|sgd|0.001|0.1|0.0
48.77|[784, 32, 16, 10]|[sigmoid, tanh]|sgd|0.001|0.1|0.001
92.62|[784, 32, 16, 10]|[sigmoid, tanh]|asgd|0.02|0|0.0
91.85|[784, 32, 16, 10]|[sigmoid, tanh]|asgd|0.02|0|0.001
95.7|[784, 32, 16, 10]|[sigmoid, relu]|adam|0.002|0|0.001
31.58|[784, 32, 16, 10]|[sigmoid, relu]|sgd|0.001|0.1|0.0
40.76|[784, 32, 16, 10]|[sigmoid, relu]|sgd|0.001|0.1|0.001
92.29|[784, 32, 16, 10]|[sigmoid, relu]|asgd|0.02|0|0.0
91.85|[784, 32, 16, 10]|[sigmoid, relu]|asgd|0.02|0|0.001
94.45|[784, 28, 28, 10]|[sigmoid, tanh]|adam|0.002|0|0.001
49.37|[784, 28, 28, 10]|[sigmoid, tanh]|sgd|0.001|0.1|0.0
54.57|[784, 28, 28, 10]|[sigmoid, tanh]|sgd|0.001|0.1|0.001
92.23|[784, 28, 28, 10]|[sigmoid, tanh]|asgd|0.02|0|0.0
92.17|[784, 28, 28, 10]|[sigmoid, tanh]|asgd|0.02|0|0.001
94.7|[784, 28, 28, 10]|[sigmoid, relu]|adam|0.002|0|0.001
31.89|[784, 28, 28, 10]|[sigmoid, relu]|sgd|0.001|0.1|0.0
39.47|[784, 28, 28, 10]|[sigmoid, relu]|sgd|0.001|0.1|0.001
92.38|[784, 28, 28, 10]|[sigmoid, relu]|asgd|0.02|0|0.0
92.05|[784, 28, 28, 10]|[sigmoid, relu]|asgd|0.02|0|0.001
96.2|[784, 64, 32, 10]|[sigmoid, tanh]|adam|0.002|0|0.001
53.33|[784, 64, 32, 10]|[sigmoid, tanh]|sgd|0.001|0.1|0.0
60.36|[784, 64, 32, 10]|[sigmoid, tanh]|sgd|0.001|0.1|0.001
92.15|[784, 64, 32, 10]|[sigmoid, tanh]|asgd|0.02|0|0.0
92.82|[784, 64, 32, 10]|[sigmoid, tanh]|asgd|0.02|0|0.001
95.22|[784, 64, 32, 10]|[sigmoid, relu]|adam|0.002|0|0.001
39.93|[784, 64, 32, 10]|[sigmoid, relu]|sgd|0.001|0.1|0.0
49.78|[784, 64, 32, 10]|[sigmoid, relu]|sgd|0.001|0.1|0.001
92.54|[784, 64, 32, 10]|[sigmoid, relu]|asgd|0.02|0|0.0
92.31|[784, 64, 32, 10]|[sigmoid, relu]|asgd|0.02|0|0.001
93.59|[784, 64, 32, 16, 10]|[sigmoid, sigmoid, tanh]|adam|0.002|0|0.001
11.35|[784, 64, 32, 16, 10]|[sigmoid, sigmoid, tanh]|sgd|0.001|0.1|0.0
11.35|[784, 64, 32, 16, 10]|[sigmoid, sigmoid, tanh]|sgd|0.001|0.1|0.001
87.1|[784, 64, 32, 16, 10]|[sigmoid, sigmoid, tanh]|asgd|0.02|0|0.0
84.18|[784, 64, 32, 16, 10]|[sigmoid, sigmoid, tanh]|asgd|0.02|0|0.001
95.7|[784, 64, 32, 16, 10]|[relu, sigmoid, tanh]|adam|0.002|0|0.001
36.08|[784, 64, 32, 16, 10]|[relu, sigmoid, tanh]|sgd|0.001|0.1|0.0
23.81|[784, 64, 32, 16, 10]|[relu, sigmoid, tanh]|sgd|0.001|0.1|0.001
93.11|[784, 64, 32, 16, 10]|[relu, sigmoid, tanh]|asgd|0.02|0|0.0
92.67|[784, 64, 32, 16, 10]|[relu, sigmoid, tanh]|asgd|0.02|0|0.001
94.68|[784, 28, 28, 28, 10]|[sigmoid, sigmoid, tanh]|adam|0.002|0|0.001
11.35|[784, 28, 28, 28, 10]|[sigmoid, sigmoid, tanh]|sgd|0.001|0.1|0.0
11.35|[784, 28, 28, 28, 10]|[sigmoid, sigmoid, tanh]|sgd|0.001|0.1|0.001
86.4|[784, 28, 28, 28, 10]|[sigmoid, sigmoid, tanh]|asgd|0.02|0|0.0
87.46|[784, 28, 28, 28, 10]|[sigmoid, sigmoid, tanh]|asgd|0.02|0|0.001
94.45|[784, 28, 28, 28, 10]|[relu, sigmoid, tanh]|adam|0.002|0|0.001
24.27|[784, 28, 28, 28, 10]|[relu, sigmoid, tanh]|sgd|0.001|0.1|0.0
25.84|[784, 28, 28, 28, 10]|[relu, sigmoid, tanh]|sgd|0.001|0.1|0.001
92.3|[784, 28, 28, 28, 10]|[relu, sigmoid, tanh]|asgd|0.02|0|0.0
92.21|[784, 28, 28, 28, 10]|[relu, sigmoid, tanh]|asgd|0.02|0|0.001
94.78|[784, 64, 32, 16, 8, 10]|[sigmoid, sigmoid, tanh, tanh]|adam|0.002|0|0.001
11.35|[784, 64, 32, 16, 8, 10]|[sigmoid, sigmoid, tanh, tanh]|sgd|0.001|0.1|0.0
9.58|[784, 64, 32, 16, 8, 10]|[sigmoid, sigmoid, tanh, tanh]|sgd|0.001|0.1|0.001
78.43|[784, 64, 32, 16, 8, 10]|[sigmoid, sigmoid, tanh, tanh]|asgd|0.02|0|0.0
79.35|[784, 64, 32, 16, 8, 10]|[sigmoid, sigmoid, tanh, tanh]|asgd|0.02|0|0.001
95.42|[784, 64, 32, 16, 8, 10]|[relu, sigmoid, tanh, tanh]|adam|0.002|0|0.001
11.7|[784, 64, 32, 16, 8, 10]|[relu, sigmoid, tanh, tanh]|sgd|0.001|0.1|0.0
12.81|[784, 64, 32, 16, 8, 10]|[relu, sigmoid, tanh, tanh]|sgd|0.001|0.1|0.001
91.14|[784, 64, 32, 16, 8, 10]|[relu, sigmoid, tanh, tanh]|asgd|0.02|0|0.0
91.85|[784, 64, 32, 16, 8, 10]|[relu, sigmoid, tanh, tanh]|asgd|0.02|0|0.001
94.82|[784, 64, 32, 16, 8, 10]|[relu, sigmoid, tanh, relu]|adam|0.002|0|0.001
11.35|[784, 64, 32, 16, 8, 10]|[relu, sigmoid, tanh, relu]|sgd|0.001|0.1|0.0
11.35|[784, 64, 32, 16, 8, 10]|[relu, sigmoid, tanh, relu]|sgd|0.001|0.1|0.001
91.18|[784, 64, 32, 16, 8, 10]|[relu, sigmoid, tanh, relu]|asgd|0.02|0|0.0
89.74|[784, 64, 32, 16, 8, 10]|[relu, sigmoid, tanh, relu]|asgd|0.02|0|0.001
94.67|[784, 28, 28, 28, 28, 10]|[sigmoid, sigmoid, tanh, tanh]|adam|0.002|0|0.001
11.35|[784, 28, 28, 28, 28, 10]|[sigmoid, sigmoid, tanh, tanh]|sgd|0.001|0.1|0.0
11.35|[784, 28, 28, 28, 28, 10]|[sigmoid, sigmoid, tanh, tanh]|sgd|0.001|0.1|0.001
65.26|[784, 28, 28, 28, 28, 10]|[sigmoid, sigmoid, tanh, tanh]|asgd|0.02|0|0.0
84.08|[784, 28, 28, 28, 28, 10]|[sigmoid, sigmoid, tanh, tanh]|asgd|0.02|0|0.001
95.06|[784, 28, 28, 28, 28, 10]|[relu, sigmoid, tanh, tanh]|adam|0.002|0|0.001
18.52|[784, 28, 28, 28, 28, 10]|[relu, sigmoid, tanh, tanh]|sgd|0.001|0.1|0.0
19.82|[784, 28, 28, 28, 28, 10]|[relu, sigmoid, tanh, tanh]|sgd|0.001|0.1|0.001
92.39|[784, 28, 28, 28, 28, 10]|[relu, sigmoid, tanh, tanh]|asgd|0.02|0|0.0
91.73|[784, 28, 28, 28, 28, 10]|[relu, sigmoid, tanh, tanh]|asgd|0.02|0|0.001
94.25|[784, 28, 28, 28, 28, 10]|[relu, sigmoid, tanh, relu]|adam|0.002|0|0.001
11.37|[784, 28, 28, 28, 28, 10]|[relu, sigmoid, tanh, relu]|sgd|0.001|0.1|0.0
11.35|[784, 28, 28, 28, 28, 10]|[relu, sigmoid, tanh, relu]|sgd|0.001|0.1|0.001
91.66|[784, 28, 28, 28, 28, 10]|[relu, sigmoid, tanh, relu]|asgd|0.02|0|0.0
91.92|[784, 28, 28, 28, 28, 10]|[relu, sigmoid, tanh, relu]|asgd|0.02|0|0.001
